Order ID,Date,Day,Season,Customer Name,City,Region,State,Category,Sub Category,Sales,Discount,Profit,Average Temp,Holiday
OD24,16-Jul-18,Monday,Monsoon,Alan,Tenkasi,East,Tamil Nadu,Fruits & Veggies,Organic Vegetables,969 ,0.30 ,78 ,28.3,No
OD25,25-Sep-16,Sunday,Monsoon,Sharon,Ooty,West,Tamil Nadu,"Eggs, Meat & Fish",Eggs,1100 ,0.10 ,495 ,28.3,No
OD26,16-Jan-17,Monday,Winter,Krithika,Tirunelveli,West,Tamil Nadu,Snacks,Chocolates,2022 ,0.10 ,202 ,28.3,No
OD27,16-Jan-17,Monday,Winter,Muneer,Trichy,West,Tamil Nadu,Snacks,Cookies,541 ,0.10 ,43 ,28.3,No
OD28,17-Sep-16,Saturday,Monsoon,Jackson,Viluppuram,East,Tamil Nadu,Bakery,Biscuits,979 ,0.20 ,401 ,28.2,No
OD29,17-Sep-16,Saturday,Monsoon,Veronica,Krishnagiri,East,Tamil Nadu,Beverages,Soft Drinks,1988 ,0.20 ,875 ,28.2,No
OD30,17-Sep-16,Saturday,Monsoon,Shah,Kanyakumari,East,Tamil Nadu,Oil & Masala,Masalas,989 ,0.20 ,69 ,28.2,No
OD31,17-Sep-16,Saturday,Monsoon,Ramesh,Dharmapuri,East,Tamil Nadu,Beverages,Soft Drinks,1845 ,0.20 ,166 ,28.2,No
OD32,17-Sep-16,Saturday,Monsoon,Mathew,Vellore,East,Tamil Nadu,Snacks,Noodles,1400 ,0.10 ,420 ,28.2,No
OD33,17-Sep-16,Saturday,Monsoon,Akash,Trichy,East,Tamil Nadu,Oil & Masala,Edible Oil & Ghee,2163 ,0.30 ,671 ,28.2,No
OD34,17-Sep-16,Saturday,Monsoon,Anu,Madurai,East,Tamil Nadu,Oil & Masala,Masalas,1689 ,0.30 ,338 ,28.2,No
OD35,19-Oct-18,Friday,Post-Monsoon,Anu,Vellore,Central,Tamil Nadu,Beverages,Health Drinks,809 ,0.30 ,81 ,26.8,Yes
OD36,08-Dec-17,Friday,Winter,Sabeela,Tirunelveli,Central,Tamil Nadu,"Eggs, Meat & Fish",Eggs,1265 ,0.20 ,569 ,30.1,No
OD37,08-Dec-17,Friday,Winter,James,Salem,Central,Tamil Nadu,Beverages,Soft Drinks,934 ,0.40 ,56 ,30.1,No
OD38,27-Dec-16,Tuesday,Winter,Willams,Ramanadhapuram,Central,Tamil Nadu,Fruits & Veggies,Organic Vegetables,1354 ,0.20 ,447 ,28.3,No
OD39,27-Dec-16,Tuesday,Winter,Jonas,Chennai,Central,Tamil Nadu,Fruits & Veggies,Fresh Fruits,1751 ,0.20 ,280 ,28.3,No
OD40,27-Dec-16,Tuesday,Winter,Sabeela,Cumbum,Central,Tamil Nadu,"Eggs, Meat & Fish",Chicken,2045 ,0.20 ,879 ,28.3,No
OD41,27-Dec-16,Tuesday,Winter,Malik,Namakkal,Central,Tamil Nadu,Beverages,Health Drinks,660 ,0.20 ,92 ,28.3,No
OD42,10-Sep-18,Monday,Monsoon,Arutra,Salem,Central,Tamil Nadu,Beverages,Soft Drinks,1868 ,0.20 ,616 ,28.8,No
OD43,17-Jul-17,Monday,Monsoon,Sharon,Bodi,West,Tamil Nadu,Snacks,Cookies,1017 ,0.30 ,346 ,30.9,No
OD44,19-Sep-18,Wednesday,Monsoon,Mathew,Dharmapuri,South,Tamil Nadu,Snacks,Cookies,2311 ,0.20 ,1040 ,26.8,No
OD45,11-Mar-17,Saturday,Winter,Amrish,Krishnagiri,Central,Tamil Nadu,Bakery,Biscuits,1663 ,0.20 ,732 ,25.5,No
OD46,11-Mar-17,Saturday,Winter,Vince,Madurai,Central,Tamil Nadu,"Eggs, Meat & Fish",Eggs,1420 ,0.20 ,355 ,25.5,No
OD47,20-Oct-15,Tuesday,Post-Monsoon,Suresh,Nagercoil,Central,Tamil Nadu,Fruits & Veggies,Organic Vegetables,1415 ,0.30 ,509 ,28.3,No
OD48,20-Jun-17,Tuesday,Summer,Mathew,Chennai,East,Tamil Nadu,Snacks,Noodles,1488 ,0.30 ,610 ,28.3,No
OD49,20-Jun-17,Tuesday,Summer,Ridhesh,Pudukottai,East,Tamil Nadu,Snacks,Noodles,726 ,0.20 ,44 ,28.3,No
OD50,18-Apr-16,Monday,Winter,Amrish,Ooty,Central,Tamil Nadu,Bakery,Cakes,1259 ,0.20 ,416 ,28.3,No
OD51,18-Apr-16,Monday,Winter,Esther,Salem,Central,Tamil Nadu,Beverages,Soft Drinks,902 ,0.30 ,153 ,28.3,No
OD52,18-Apr-16,Monday,Winter,Shah,Salem,Central,Tamil Nadu,Beverages,Soft Drinks,2306 ,0.30 ,553 ,28.3,No
OD53,18-Apr-16,Monday,Winter,Sudha,Theni,Central,Tamil Nadu,Bakery,Cakes,1417 ,0.20 ,99 ,28.3,No
OD54,11-Dec-17,Monday,Winter,Yusuf,Madurai,East,Tamil Nadu,Fruits & Veggies,Fresh Vegetables,627 ,0.30 ,182 ,25.4,No
OD55,11-Dec-17,Monday,Winter,Esther,Nagercoil,East,Tamil Nadu,Fruits & Veggies,Organic Fruits,760 ,0.30 ,61 ,25.4,No
OD56,17-Jun-17,Saturday,Summer,Muneer,Salem,East,Tamil Nadu,Food Grains,Atta & Flour,2350 ,0.20 ,611 ,28.3,No
OD57,17-Jun-17,Saturday,Summer,Komal,Krishnagiri,East,Tamil Nadu,"Eggs, Meat & Fish",Fish,1179 ,0.30 ,271 ,28.3,No
OD58,17-Jun-17,Saturday,Summer,Veena,Trichy,East,Tamil Nadu,Food Grains,Dals & Pulses,1624 ,0.40 ,195 ,28.3,No
OD59,17-Jun-17,Saturday,Summer,Sharon,Trichy,East,Tamil Nadu,"Eggs, Meat & Fish",Mutton,1316 ,0.40 ,421 ,28.3,No
OD60,17-Jun-17,Saturday,Summer,Shree,Coimbatore,East,Tamil Nadu,Beverages,Health Drinks,2121 ,0.10 ,679 ,28.3,No
OD61,17-Jun-17,Saturday,Summer,Roshan,Virudhunagar,East,Tamil Nadu,Oil & Masala,Masalas,1428 ,0.30 ,271 ,28.3,No
OD62,17-Jun-17,Saturday,Summer,Willams,Perambalur,East,Tamil Nadu,Snacks,Noodles,706 ,0.30 ,290 ,28.3,No
OD63,24-Nov-16,Thursday,Post-Monsoon,Sudeep,Dharmapuri,West,Tamil Nadu,"Eggs, Meat & Fish",Fish,921 ,0.30 ,184 ,28.3,Yes
OD64,24-Nov-16,Thursday,Post-Monsoon,Yusuf,Trichy,West,Tamil Nadu,Fruits & Veggies,Fresh Fruits,1741 ,0.30 ,662 ,28.3,Yes
OD65,24-Nov-16,Thursday,Post-Monsoon,Willams,Madurai,West,Tamil Nadu,"Eggs, Meat & Fish",Eggs,607 ,0.20 ,200 ,28.3,Yes
OD66,24-Nov-16,Thursday,Post-Monsoon,Muneer,Tirunelveli,West,Tamil Nadu,"Eggs, Meat & Fish",Mutton,1824 ,0.30 ,766 ,28.3,Yes
OD67,30-Apr-16,Saturday,Winter,Vinne,Madurai,Central,Tamil Nadu,Food Grains,Atta & Flour,1368 ,0.10 ,383 ,28.3,No
OD68,05-Dec-15,Saturday,Winter,Roshan,Pudukottai,West,Tamil Nadu,Fruits & Veggies,Fresh Vegetables,1160 ,0.20 ,510 ,31.4,No
OD69,05-Dec-15,Saturday,Winter,Ramesh,Viluppuram,West,Tamil Nadu,Food Grains,Atta & Flour,1294 ,0.20 ,78 ,31.4,No
OD70,04-Jun-17,Sunday,Summer,Peer,Ooty,South,Tamil Nadu,Oil & Masala,Masalas,1232 ,0.10 ,554 ,28.3,No
OD71,18-Sep-17,Monday,Monsoon,Verma,Kanyakumari,East,Tamil Nadu,"Eggs, Meat & Fish",Mutton,994 ,0.30 ,358 ,29.1,No
OD72,14-Sep-18,Friday,Monsoon,Yusuf,Kanyakumari,Central,Tamil Nadu,Snacks,Noodles,2468 ,0.20 ,1012 ,30.1,No
OD73,26-Apr-16,Tuesday,Winter,Alan,Theni,South,Tamil Nadu,Snacks,Cookies,721 ,0.30 ,101 ,28.3,No
OD74,26-Apr-16,Tuesday,Winter,Vidya,Vellore,South,Tamil Nadu,Fruits & Veggies,Organic Vegetables,2375 ,0.20 ,475 ,28.3,No
OD75,26-Apr-16,Tuesday,Winter,Arvind,Vellore,South,Tamil Nadu,Beverages,Soft Drinks,1965 ,0.10 ,118 ,28.3,No
OD76,09-Dec-18,Sunday,Winter,Veronica,Bodi,Central,Tamil Nadu,Beverages,Soft Drinks,1489 ,0.10 ,194 ,28.3,No
OD77,09-Dec-18,Sunday,Winter,Arvind,Ooty,Central,Tamil Nadu,Fruits & Veggies,Organic Fruits,1250 ,0.30 ,75 ,28.3,No
OD78,09-Dec-18,Sunday,Winter,Anu,Coimbatore,Central,Tamil Nadu,Snacks,Noodles,1358 ,0.30 ,489 ,28.3,No
OD79,26-Nov-15,Thursday,Post-Monsoon,Haseena,Vellore,Central,Tamil Nadu,Snacks,Cookies,719 ,0.20 ,65 ,27.3,No
OD80,12-Jun-17,Monday,Summer,Veena,Chennai,South,Tamil Nadu,Fruits & Veggies,Organic Fruits,2303 ,0.30 ,622 ,28.3,No
OD81,12-Jun-17,Monday,Summer,Kumar,Kanyakumari,South,Tamil Nadu,Beverages,Health Drinks,2027 ,0.30 ,912 ,28.3,No
OD82,12-Oct-15,Monday,Post-Monsoon,Amy,Bodi,West,Tamil Nadu,Food Grains,Atta & Flour,1739 ,0.30 ,765 ,26.9,No
OD83,12-Oct-15,Monday,Post-Monsoon,Komal,Cumbum,West,Tamil Nadu,Oil & Masala,Spices,990 ,0.30 ,228 ,26.9,No
OD84,03-Sep-16,Saturday,Monsoon,Ravi,Dharmapuri,South,Tamil Nadu,Beverages,Soft Drinks,2354 ,0.10 ,683 ,28.3,No
OD85,13-Nov-18,Tuesday,Post-Monsoon,Amy,Bodi,Central,Tamil Nadu,Fruits & Veggies,Organic Fruits,1044 ,0.10 ,345 ,28.3,Yes
OD86,28-May-18,Monday,Summer,Willams,Dindigul,South,Tamil Nadu,Oil & Masala,Spices,2129 ,0.30 ,660 ,28.3,No
OD87,26-Oct-18,Friday,Post-Monsoon,Sharon,Theni,Central,Tamil Nadu,Food Grains,Rice,1759 ,0.10 ,616 ,28.3,No
OD88,26-Oct-18,Friday,Post-Monsoon,Ramesh,Viluppuram,Central,Tamil Nadu,"Eggs, Meat & Fish",Eggs,1663 ,0.30 ,665 ,28.3,No
OD89,05-Apr-17,Wednesday,Winter,Sheeba,Perambalur,Central,Tamil Nadu,Bakery,Breads & Buns,2111 ,0.20 ,190 ,28.3,No
OD90,17-Sep-17,Sunday,Monsoon,Krithika,Madurai,West,Tamil Nadu,Food Grains,Dals & Pulses,1878 ,0.10 ,451 ,28.1,No
OD91,17-Sep-17,Sunday,Monsoon,Willams,Ooty,West,Tamil Nadu,"Eggs, Meat & Fish",Chicken,769 ,0.30 ,46 ,28.1,No
OD92,17-Sep-17,Sunday,Monsoon,Roshan,Virudhunagar,West,Tamil Nadu,Beverages,Health Drinks,1241 ,0.10 ,410 ,28.1,No
OD93,31-Jan-16,Sunday,Winter,Ravi,Madurai,Central,Tamil Nadu,Food Grains,Atta & Flour,2128 ,0.10 ,383 ,28.3,No
OD94,31-Jan-16,Sunday,Winter,Ram,Namakkal,Central,Tamil Nadu,Fruits & Veggies,Fresh Fruits,2257 ,0.30 ,271 ,28.3,No
OD95,31-Jan-16,Sunday,Winter,Mathew,Bodi,Central,Tamil Nadu,Snacks,Chocolates,1285 ,0.30 ,219 ,28.3,No
OD96,06-Nov-18,Tuesday,Post-Monsoon,Veena,Virudhunagar,West,Tamil Nadu,"Eggs, Meat & Fish",Fish,1230 ,0.10 ,443 ,28.3,Yes
OD97,09-Nov-18,Friday,Post-Monsoon,Sudha,Ooty,East,Tamil Nadu,Food Grains,Atta & Flour,1856 ,0.20 ,724 ,28.3,Yes
OD98,17-Jun-18,Sunday,Summer,Sharon,Trichy,West,Tamil Nadu,Fruits & Veggies,Fresh Fruits,545 ,0.30 ,125 ,33.6,No
OD99,06-Sep-17,Wednesday,Monsoon,Vince,Dharmapuri,Central,Tamil Nadu,Snacks,Chocolates,2301 ,0.30 ,391 ,33.2,No
OD100,29-Aug-17,Tuesday,Monsoon,Krithika,Chennai,Central,Tamil Nadu,Oil & Masala,Spices,1475 ,0.30 ,531 ,30.9,No
OD101,29-Aug-17,Tuesday,Monsoon,Adavan,Coimbatore,Central,Tamil Nadu,Bakery,Cakes,2118 ,0.40 ,911 ,30.9,No
OD102,29-Aug-17,Tuesday,Monsoon,Roshan,Coimbatore,Central,Tamil Nadu,Beverages,Soft Drinks,1527 ,0.20 ,672 ,30.9,No
OD103,01-Dec-17,Friday,Winter,Vinne,Nagercoil,Central,Tamil Nadu,Snacks,Chocolates,567 ,0.20 ,176 ,28.3,No
OD104,13-Nov-16,Sunday,Post-Monsoon,Amy,Ramanadhapuram,West,Tamil Nadu,Fruits & Veggies,Fresh Fruits,969 ,0.30 ,184 ,27.8,No
OD105,13-Nov-16,Sunday,Post-Monsoon,Suresh,Karur,West,Tamil Nadu,Food Grains,Dals & Pulses,2300 ,0.10 ,1035 ,27.8,No
OD106,13-Nov-16,Sunday,Post-Monsoon,Komal,Kanyakumari,West,Tamil Nadu,Oil & Masala,Masalas,1575 ,0.30 ,79 ,27.8,No
OD107,23-Nov-18,Friday,Post-Monsoon,Sundar,Cumbum,South,Tamil Nadu,Beverages,Health Drinks,540 ,0.10 ,108 ,27.4,Yes
OD108,23-Nov-18,Friday,Post-Monsoon,Willams,Tirunelveli,South,Tamil Nadu,Snacks,Cookies,536 ,0.30 ,177 ,27.4,Yes
OD109,23-Nov-18,Friday,Post-Monsoon,Vidya,Tirunelveli,South,Tamil Nadu,"Eggs, Meat & Fish",Eggs,556 ,0.20 ,156 ,27.4,Yes
OD110,15-Oct-16,Saturday,Post-Monsoon,Shree,Coimbatore,Central,Tamil Nadu,Fruits & Veggies,Fresh Fruits,1179 ,0.20 ,271 ,28.3,No
OD111,25-Dec-18,Tuesday,Winter,Sundar,Namakkal,East,Tamil Nadu,Food Grains,Dals & Pulses,1487 ,0.10 ,506 ,28.3,Yes
OD112,03-Nov-17,Friday,Post-Monsoon,Arvind,Pudukottai,Central,Tamil Nadu,Bakery,Breads & Buns,2220 ,0.10 ,111 ,28.3,No
OD113,03-Nov-17,Friday,Post-Monsoon,Ravi,Dindigul,Central,Tamil Nadu,Oil & Masala,Edible Oil & Ghee,2155 ,0.30 ,582 ,28.3,No
OD114,25-Aug-15,Tuesday,Monsoon,Vinne,Krishnagiri,East,Tamil Nadu,Fruits & Veggies,Fresh Vegetables,1154 ,0.10 ,69 ,28.3,No
OD115,25-Aug-15,Tuesday,Monsoon,Muneer,Salem,East,Tamil Nadu,Snacks,Noodles,2420 ,0.10 ,242 ,28.3,No
OD116,25-Aug-15,Tuesday,Monsoon,Rumaiza,Karur,East,Tamil Nadu,Snacks,Chocolates,1305 ,0.20 ,287 ,28.3,No
OD117,25-Aug-15,Tuesday,Monsoon,Hussain,Bodi,East,Tamil Nadu,Fruits & Veggies,Organic Fruits,927 ,0.20 ,158 ,28.3,No
OD118,02-Mar-16,Wednesday,Winter,Arvind,Viluppuram,West,Tamil Nadu,Fruits & Veggies,Organic Vegetables,983 ,0.10 ,187 ,28.3,No
OD119,05-Apr-16,Tuesday,Winter,Akash,Chennai,South,Tamil Nadu,Food Grains,Rice,903 ,0.10 ,90 ,28.3,No
OD120,12-Jun-17,Monday,Summer,Ganesh,Cumbum,East,Tamil Nadu,"Eggs, Meat & Fish",Chicken,1235 ,0.10 ,74 ,28.3,No
OD121,12-Jun-17,Monday,Summer,Alan,Tirunelveli,East,Tamil Nadu,Fruits & Veggies,Organic Vegetables,1243 ,0.20 ,174 ,28.3,No
OD122,12-Jun-17,Monday,Summer,Harish,Krishnagiri,East,Tamil Nadu,Bakery,Cakes,649 ,0.30 ,201 ,28.3,No
OD123,12-Jun-17,Monday,Summer,Veronica,Tenkasi,East,Tamil Nadu,"Eggs, Meat & Fish",Mutton,2354 ,0.10 ,188 ,28.3,No
OD124,12-Jun-17,Monday,Summer,Anu,Cumbum,East,Tamil Nadu,Beverages,Soft Drinks,1443 ,0.30 ,188 ,28.3,No
OD125,26-Dec-15,Saturday,Winter,Sudeep,Madurai,Central,Tamil Nadu,Bakery,Breads & Buns,975 ,0.30 ,390 ,28.3,No
OD126,20-Sep-15,Sunday,Monsoon,Yusuf,Virudhunagar,Central,Tamil Nadu,Fruits & Veggies,Organic Vegetables,889 ,0.20 ,71 ,30.1,No
OD127,05-Nov-18,Monday,Post-Monsoon,Shah,Karur,West,Tamil Nadu,"Eggs, Meat & Fish",Mutton,2352 ,0.20 ,870 ,28.3,No
OD128,05-Nov-18,Monday,Post-Monsoon,Harish,Tirunelveli,West,Tamil Nadu,Oil & Masala,Spices,1293 ,0.20 ,336 ,28.3,No
OD129,06-Nov-17,Monday,Post-Monsoon,Sharon,Bodi,West,Tamil Nadu,Food Grains,Rice,1458 ,0.30 ,598 ,28.3,No
OD130,06-Nov-17,Monday,Post-Monsoon,Peer,Coimbatore,West,Tamil Nadu,Food Grains,Atta & Flour,1801 ,0.20 ,126 ,28.3,No
OD131,02-Feb-18,Friday,Winter,Haseena,Tenkasi,East,Tamil Nadu,Snacks,Chocolates,1261 ,0.30 ,416 ,28.3,No
OD132,02-Feb-18,Friday,Winter,Sundar,Nagercoil,East,Tamil Nadu,Beverages,Soft Drinks,2112 ,0.30 ,106 ,28.3,No
OD133,02-Feb-18,Friday,Winter,Ram,Ramanadhapuram,East,Tamil Nadu,"Eggs, Meat & Fish",Fish,640 ,0.20 ,141 ,28.3,No
OD134,13-Oct-17,Friday,Post-Monsoon,Shah,Tenkasi,West,Tamil Nadu,Bakery,Cakes,1658 ,0.10 ,315 ,28,No
OD135,13-Oct-17,Friday,Post-Monsoon,Harish,Ramanadhapuram,West,Tamil Nadu,Beverages,Health Drinks,2373 ,0.20 ,664 ,28,No
OD136,13-Oct-17,Friday,Post-Monsoon,Veena,Cumbum,West,Tamil Nadu,Fruits & Veggies,Organic Fruits,1430 ,0.20 ,515 ,28,No
OD137,13-Oct-17,Friday,Post-Monsoon,Sundar,Viluppuram,West,Tamil Nadu,Oil & Masala,Spices,1873 ,0.30 ,674 ,28,No
OD138,13-Oct-17,Friday,Post-Monsoon,Jackson,Theni,West,Tamil Nadu,"Eggs, Meat & Fish",Eggs,867 ,0.10 ,330 ,28,No
OD139,13-Oct-17,Friday,Post-Monsoon,Malik,Theni,West,Tamil Nadu,Snacks,Noodles,1101 ,0.20 ,484 ,28,No
OD140,13-Oct-17,Friday,Post-Monsoon,Hussain,Ooty,West,Tamil Nadu,"Eggs, Meat & Fish",Mutton,1088 ,0.30 ,424 ,28,No
OD141,05-Sep-17,Tuesday,Monsoon,Veena,Perambalur,East,Tamil Nadu,Bakery,Biscuits,866 ,0.30 ,381 ,28.3,No
OD142,18-Sep-18,Tuesday,Monsoon,Aditi,Tirunelveli,West,Tamil Nadu,Oil & Masala,Masalas,2483 ,0.10 ,224 ,25.9,No
OD143,18-Sep-18,Tuesday,Monsoon,Surya,Kanyakumari,West,Tamil Nadu,Food Grains,Atta & Flour,1335 ,0.10 ,294 ,25.9,No
OD144,18-Sep-18,Tuesday,Monsoon,Sharon,Tenkasi,West,Tamil Nadu,"Eggs, Meat & Fish",Fish,765 ,0.20 ,253 ,25.9,No
OD145,22-Dec-18,Saturday,Winter,Vinne,Tenkasi,Central,Tamil Nadu,"Eggs, Meat & Fish",Mutton,2403 ,0.20 ,625 ,28.3,No
OD146,07-Sep-16,Wednesday,Monsoon,Malik,Coimbatore,West,Tamil Nadu,Oil & Masala,Edible Oil & Ghee,1551 ,0.10 ,574 ,28.3,No
OD147,22-Oct-15,Thursday,Post-Monsoon,Ridhesh,Theni,East,Tamil Nadu,Food Grains,Organic Staples,1564 ,0.30 ,188 ,28.3,No
OD148,05-Dec-17,Tuesday,Winter,Harish,Tirunelveli,Central,Tamil Nadu,Fruits & Veggies,Fresh Vegetables,1125 ,0.30 ,293 ,28.3,No
OD149,05-Dec-17,Tuesday,Winter,Veronica,Tenkasi,Central,Tamil Nadu,Beverages,Health Drinks,768 ,0.10 ,184 ,28.3,No
OD150,05-Dec-17,Tuesday,Winter,Ravi,Vellore,Central,Tamil Nadu,"Eggs, Meat & Fish",Fish,1985 ,0.30 ,735 ,28.3,No
OD151,05-Dec-17,Tuesday,Winter,Muneer,Bodi,Central,Tamil Nadu,Food Grains,Rice,2287 ,0.10 ,1029 ,28.3,No
OD152,13-Mar-17,Monday,Winter,Jackson,Pudukottai,West,Tamil Nadu,Snacks,Chocolates,1016 ,0.30 ,335 ,28.3,Yes
OD153,13-Mar-17,Monday,Winter,Amy,Namakkal,West,Tamil Nadu,Snacks,Cookies,852 ,0.30 ,77 ,28.3,Yes
OD154,31-May-16,Tuesday,Summer,Ram,Ramanadhapuram,West,Tamil Nadu,Food Grains,Organic Staples,1233 ,0.30 ,234 ,28.3,No
OD155,31-May-16,Tuesday,Summer,Jonas,Pudukottai,West,Tamil Nadu,Snacks,Noodles,2236 ,0.10 ,626 ,28.3,No
OD156,31-May-16,Tuesday,Summer,Ramesh,Viluppuram,West,Tamil Nadu,Fruits & Veggies,Fresh Vegetables,2188 ,0.30 ,810 ,28.3,No
OD157,28-May-16,Saturday,Summer,Peer,Coimbatore,West,Tamil Nadu,Snacks,Cookies,1114 ,0.20 ,457 ,28.3,No
OD158,01-Mar-15,Sunday,Winter,Komal,Salem,West,Tamil Nadu,Oil & Masala,Edible Oil & Ghee,1774 ,0.20 ,621 ,28.3,No
OD159,20-Nov-17,Monday,Post-Monsoon,Amy,Karur,Central,Tamil Nadu,Beverages,Soft Drinks,2364 ,0.20 ,1040 ,28.8,No
OD160,20-Nov-17,Monday,Post-Monsoon,Amrish,Madurai,Central,Tamil Nadu,Food Grains,Dals & Pulses,1487 ,0.10 ,149 ,28.8,No
OD161,11-May-17,Thursday,Summer,Yadav,Ooty,West,Tamil Nadu,Beverages,Soft Drinks,713 ,0.30 ,193 ,26.8,No
OD162,28-Dec-16,Wednesday,Winter,Vinne,Kanyakumari,East,Tamil Nadu,"Eggs, Meat & Fish",Fish,737 ,0.20 ,280 ,28.3,No
OD163,16-Nov-17,Thursday,Post-Monsoon,Amrish,Trichy,West,Tamil Nadu,Snacks,Chocolates,1004 ,0.30 ,341 ,29.2,No
OD164,07-Nov-17,Tuesday,Post-Monsoon,Hussain,Theni,West,Tamil Nadu,Snacks,Cookies,1516 ,0.30 ,121 ,30.8,No
OD165,08-Sep-15,Tuesday,Monsoon,Haseena,Ramanadhapuram,Central,Tamil Nadu,Food Grains,Atta & Flour,1442 ,0.30 ,606 ,31.2,No
OD166,08-Sep-15,Tuesday,Monsoon,Sudha,Madurai,Central,Tamil Nadu,Beverages,Health Drinks,1690 ,0.30 ,423 ,31.2,No
OD167,08-Sep-15,Tuesday,Monsoon,Adavan,Bodi,Central,Tamil Nadu,Snacks,Chocolates,2021 ,0.10 ,344 ,31.2,No
OD168,08-Sep-15,Tuesday,Monsoon,Aditi,Ooty,Central,Tamil Nadu,"Eggs, Meat & Fish",Mutton,2340 ,0.30 ,491 ,31.2,No
OD169,08-Sep-15,Tuesday,Monsoon,Krithika,Viluppuram,Central,Tamil Nadu,Oil & Masala,Spices,705 ,0.20 ,176 ,31.2,No
OD170,08-Sep-15,Tuesday,Monsoon,Sharon,Trichy,Central,Tamil Nadu,"Eggs, Meat & Fish",Chicken,1215 ,0.20 ,61 ,31.2,No
OD171,08-Sep-15,Tuesday,Monsoon,Akash,Krishnagiri,Central,Tamil Nadu,Food Grains,Dals & Pulses,552 ,0.30 ,237 ,31.2,No
OD172,05-Aug-15,Wednesday,Monsoon,Sabeela,Tirunelveli,West,Tamil Nadu,Beverages,Health Drinks,1412 ,0.10 ,565 ,28.3,No
